exercise,pr,metric,tool,dropset,addon,superset,day 
romaniandeadlift,185,lb,barb,no,no,no,leg
legpress,280,lb,mach,no,singlelegpress,no,leg
bulgsplitsquat,30,lb,dumb,yes,no,no,leg
legextensions,130,lb,mach,yes,no,no,leg
facepull,49,lb,mach,yes,no,no,pull
seatcablerows,60,lb,mach,yes,singlehandrows,no,pull
triceppulldown,33,lb,mach,ds,singletricepulldown,no,pull
hammercurls,60,lb,barb,no,no,no,pull
curls,35,lb,dumb,yes,no,no,pull
midcableflies,25,lb,mach,yes,singlearmcablefly,no,pull
chestassistedrows,40,lb,dumb,yes,no,no,pull
overheadpress,40,lb,dumb,no,no,no,push
inclinebenchpress,45,lb,dumb,no,no,no,push
squat,175,lb,barb,no,no,no,legs
benchpress,50,lb,dumb,no,no,no,push

